,lp__,overall_mean,yearly_trend,theta,mu_v,theta_v,sigma_v,mu_jump,sigma_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-58810.602366798696,49.50065375585704,-13.229887416713881,0.12322898665427424,1.4711195111369066,0.29363962574760755,0.6872352111447001,-0.06525134750245688,0.0735251674412623,0.5690950119197172,1.0423997070173125,0.7148974815047326,0.5222844963628686,-1.094540424089855,-1.4030662898499682,-1.3076755000350166,-2.9214975143759587,-3.445493101022714,-2.5149437548396176,1.6045613537182495,4.840362399949346,6.632241871471903,7.554852497768267,6.448248005357397,4.64685565831675,3.197459886511734,1.4384714921674022,0.13038745797006776,0.08081322426772702,3.6333775580669765,9.543489855941738,14.227489325727385,13.380616676201898,10.478784364997592,6.988235580396817,3.539567418908469,2.9879852972130343,0.5578689990284105,1.3551330876903163,-1.6816223554078376,-0.009870396801925967,4.454472081873509,-2.3382537601973317,-1.7772446149303016
1,-59094.45156554561,50.2555745152227,-13.650865959150783,0.1313450377402417,1.4463674751842697,0.26910100462130754,0.6156486584352829,-0.04246417954051701,0.08608376460238433,0.22859153534164886,0.6583066323594139,0.34932843864331065,0.13463560497571853,-1.2591596537188339,-1.0210339056827018,-1.3229630882602021,-3.045988169296441,-3.8734451164042305,-2.9337272332157593,1.2521958075262298,4.804644904963518,6.827952762888335,7.303125971347544,6.279895191176893,4.548376752884822,2.9671697125729612,1.1295710923952138,-0.11211449609320864,-0.156290213848297,3.4396369569449536,9.211804652249882,14.328876007334413,13.37110170555266,10.20060635202596,6.801535688426807,3.291124533619831,3.029753252544232,0.5327090217479182,1.9880754545316837,-2.083309283157833,0.031022433942796634,4.595215539530626,-1.9953407523414022,-1.4253023614673679
2,-58975.05296560979,49.93477012009691,-13.67131863300551,0.13049958063443087,1.4363767827433391,0.29271627521223825,0.6520547913062309,-0.03648420278979159,0.07746413429023197,0.19862985363658034,0.8832279513152858,0.5400365245171657,0.3338339034413509,-0.5865483420094363,-0.6056006390679533,-1.221449987321872,-2.9866660161428036,-3.478756594332493,-2.559816004780288,1.557288032640658,5.060938828360247,6.797656790069119,7.124024167336079,6.149116429129559,4.319233175239075,2.9746654002395236,1.284756121737049,-0.09047069086038668,-0.06305954701796267,3.2911289754361204,9.37874400847123,14.454701392555606,13.375738756041374,10.682727946671442,7.290151791063488,3.7285158441848654,3.16203516245919,0.6169797345350124,1.180662914283601,-1.8715485101349139,0.009419722438896043,4.134804505012212,-2.541381222943238,-1.994319352413513
3,-58967.57230795115,50.20063477898578,-13.795046118203674,0.13125517677008064,1.4415460802597886,0.277293034702639,0.6280637495382838,-0.05582162054163512,0.06643856366853436,-0.30965135780717545,0.45858187690537117,0.22063842800191527,0.2550489595674454,-0.4029860240396008,-0.5367225577108712,-1.3033315723314598,-3.0239957205978794,-3.48021245110625,-2.42505650277504,1.6898188577722955,5.003999255081994,7.11373851250339,7.51869530654302,6.417341152962152,4.687196196033994,3.3761793375676294,1.412276147685176,0.1189582463408906,0.09869210909359523,3.4257815981586712,9.115178059555253,14.389512357401223,13.358818840088786,10.792504369198237,7.32876595340284,3.558242491951233,3.4475823843315885,0.7441762150463354,2.195470043375163,-1.611682624726794,-0.022085923509345143,4.100991055308355,-1.9699307856349975,-1.2405422562645587
4,-59081.57044913933,50.41405150995516,-13.65845541687607,0.128283720383224,1.4502916770597856,0.2955044302262435,0.6709808881104278,-0.04475118406391986,0.05993099250386247,0.040977926352172046,0.7408285505111206,0.5239178361792254,0.17799065642686415,-0.837123420968454,-1.0703012076067395,-1.264008936819983,-2.975711043490954,-3.608932749862462,-2.6085327513260004,1.3561402562987963,4.743459877443788,6.647609072009295,7.228057990262302,5.828443807685935,4.0326239245141755,2.6610789661236876,0.9563318589713812,-0.3393196347349821,-0.3350196611078772,2.8873706508132533,8.724017827575604,13.85372049453221,12.682989760199053,10.019788029577773,6.754369622790309,3.351375977598415,3.072040258097199,0.5439782595983803,1.8429025691778989,-1.5039731198717772,0.4174754865463284,4.238381121038888,-1.3329554897465623,-1.7738422453734295
5,-58970.50613772011,50.51718605643038,-13.717928383975137,0.1266069158380786,1.4611836156043823,0.28267735563899554,0.6192066566864093,-0.06798768802596314,0.07167754447521402,0.28080725718872723,0.562876381189111,0.6563902925257887,-0.07598515930485171,-0.8597871721513373,-1.4201158108568435,-1.3084602126585516,-2.9989570525160354,-3.687778526408434,-2.4246190591143857,1.5890510857762115,5.152804194734217,7.183613420944456,7.853508421300461,6.476287851314512,4.636474989454195,3.4240508472934144,1.4649554283999726,0.0830749886213202,0.23967270113814834,3.6840357120045777,9.508850551394124,14.550333713633572,13.52458029171148,10.516735192924294,7.100075173577599,3.516751636272528,3.2891622571099974,0.758139819229854,1.5842190649127477,-1.066058693062321,0.2670481085988384,4.686361828836509,-1.9084210849731793,-1.2696498080000462
6,-58947.97028552403,49.63220169930215,-13.435558469767647,0.13239257732851514,1.4859509198273209,0.271439138924823,0.6437557767868183,-0.0851840347671729,0.07478013882269703,0.44595453862828793,0.9467981125973446,0.5272407710531248,0.45952675783458374,-0.8523641789791813,-1.2474875643840466,-1.2107585023822465,-3.010671520279687,-3.639221423571557,-2.4012772933802924,1.7904387781859485,5.085746346527505,6.87660752125049,7.497311859568185,6.503773275783977,4.645045213850397,3.1265852548769404,1.3776835551773907,0.12240973443521803,0.20802602355304683,3.3078398834895753,9.387096817128743,14.412749107662727,13.253405426055885,10.39723482851181,7.208133291447696,3.6608238555677834,3.1585611159949614,0.4656523917336858,1.6682319960412697,-1.4411325386120606,0.06732411003642426,4.284027237853968,-2.049991333012032,-1.818369356563925
7,-59023.119048715664,49.93229070738592,-13.236889905892154,0.1347822187292873,1.4736310517820965,0.2618532930878453,0.61403201454723,-0.07272956625729632,0.0788710266093881,0.6254532158765559,0.9208510329264221,0.5476725935180845,0.3839017922169024,-1.034216854401104,-0.9413414700219426,-1.3834274933840849,-3.132647815775815,-3.9522275719398583,-3.0068549455732025,1.154393664282396,4.4512860210905965,6.562655598251155,7.103075324771273,5.97543323408408,4.225710071001425,2.725434828689183,0.9365066400407814,-0.21401936705988273,-0.351152881835191,3.2612108976542187,8.999467856949433,13.8790250214051,13.21626378613126,10.443490587943618,6.894706781045913,3.4522058044528636,3.2193568663474936,0.5219959905175162,1.8965612841842245,-1.517762226333119,0.08801555065254227,4.575615885212128,-2.3106365862491964,-1.4125878020376372
8,-58898.01508577878,50.41850707367379,-13.982481153043887,0.13341182360276055,1.4415969482835158,0.3258679361234143,0.6907414203316782,-0.03472071210533829,0.07100054515799002,0.1823581507168099,1.1801462910720892,0.7170548224953033,0.3514849140138029,-0.2652055408944085,-0.8052664434567658,-1.3249326109521773,-2.9990082465696144,-3.6488980091982226,-2.639824137002318,1.48845625405836,4.759865975804188,6.643407737058345,7.2180084137398435,6.121670353175788,4.465220592288281,3.202398376405443,1.3974884463698893,0.10596084160965749,0.11727996974400287,3.2289717464409358,9.376965040092507,14.124375049612725,13.203764135455268,10.50274422867012,7.138166833111928,3.5757345313890037,3.2161317933611357,0.5616448807416323,1.333550198397496,-0.9636246299983103,-0.23053528331520182,4.585855526502554,-2.371668918632178,-2.060950990475203
9,-59027.3341777036,49.92601144686236,-13.58636762940827,0.12718181708895765,1.465285311431337,0.2834352182015862,0.6459446661808866,-0.05236191764671893,0.07585884595954828,0.7431635718648506,1.0010614547691437,0.6738011821743329,0.4795528538840297,-0.7395327413964566,-0.7681041081189127,-1.3119468734008073,-2.887697185023959,-3.5349614093834343,-2.5014789904107895,1.5641118303877704,5.140243168730667,7.111570455403047,7.658637319877919,6.615807172330599,4.768362611802267,3.169111041779543,1.3559371982995796,0.14235047793074262,0.09805554057072947,3.182907855670542,9.01520435628912,14.06088672451907,13.09975344956452,10.12059649938419,6.949254782131856,3.3393037769858775,3.0376239375461247,0.7028945172637266,0.9835981583293146,-1.9048609608181297,0.40091769252373155,4.340219825953128,-2.04071437551549,-1.861397032434345
